Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Prefixado;01/01/2025;01/01/2024; R$ 914,94 ;4.758.233; R$ 4.353.511.097,96 
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/04/2024; R$ 1.007,68 ;113.677; R$ 114.549.462,78 
Tesouro RendA+;15/12/2049;01/04/2023; R$ 1.575,69 ;148.375; R$ 233.793.593,50 
Tesouro RendA+;15/12/2054;01/04/2023; R$ 1.151,76 ;100.835; R$ 116.138.307,92 
Tesouro RendA+;15/12/2059;01/04/2023; R$ 846,74 ;88.096; R$ 74.594.750,89 
Tesouro RendA+;15/12/2064;01/04/2023; R$ 620,52 ;102.174; R$ 63.400.345,82 
Tesouro RendA+;15/12/2069;01/04/2023; R$ 460,33 ;53.930; R$ 24.825.308,76 
Tesouro RendA+;15/12/2074;01/04/2023; R$ 340,81 ;50.461; R$ 17.197.457,71 
Tesouro RendA+;15/12/2079;01/04/2023; R$ 249,20 ;29.923; R$ 7.456.926,32 
Tesouro RendA+;15/12/2084;01/04/2023; R$ 184,49 ;327.932; R$ 60.499.483,98 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/04/2023; R$ 4.085,31 ;31.111; R$ 127.097.917,76 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/05/2023; R$ 4.181,18 ;25.331; R$ 105.914.939,14 
Tesouro IPCA+;15/08/2024;01/05/2023; R$ 3.876,24 ;2.960.778; R$ 11.476.685.948,30 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/05/2023; R$ 1.106,22 ;1.120.587; R$ 1.239.619.998,39 
Tesouro Selic;01/09/2024;01/06/2023; R$ 13.419,04 ;327.523; R$ 4.395.039.552,20 
Tesouro Prefixado;01/01/2029;01/07/2023; R$ 530,26 ;4.952.321; R$ 2.625.995.977,16 
Tesouro IPCA+;15/05/2045;01/07/2023; R$ 1.375,79 ;4.647.553; R$ 6.394.036.074,30 
